trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha7_trip_36,17:50:00,17:50:00,naha7_stop_17,17
naha7_trip_36,17:50:00,17:50:00,naha7_stop_18,18
naha7_trip_36,17:50:00,17:50:00,S3245,19
naha7_trip_36,17:50:00,17:50:00,naha7_stop_20,20
naha7_trip_36,17:50:00,17:50:00,naha7_stop_21,21
naha7_trip_36,17:50:00,17:50:00,naha7_stop_22,22
naha7_trip_36,17:50:00,17:50:00,naha7_stop_23,23
naha7_trip_36,17:50:00,17:50:00,S3399,24
naha7_trip_36,17:50:00,17:50:00,naha7_stop_25,25
naha7_trip_36,17:50:00,17:50:00,naha7_stop_26,26
naha7_trip_36,17:50:00,17:50:00,naha7_stop_27,27
naha7_trip_36,17:50:00,17:50:00,naha7_stop_28,28
naha7_trip_36,17:50:00,17:50:00,naha7_stop_29,29
naha7_trip_36,17:50:00,17:50:00,S3342,30
naha7_trip_36,17:50:00,17:50:00,naha7_stop_31,31
naha7_trip_36,17:50:00,17:50:00,naha7_stop_32,32
naha7_trip_36,17:50:00,17:50:00,naha7_stop_33,33
naha7_trip_36,17:50:00,17:50:00,S4397,34
naha7_trip_36,17:50:00,17:50:00,naha7_stop_35,35
naha7_trip_36,17:50:00,17:50:00,naha7_stop_36,36
naha7_trip_36,17:50:00,17:50:00,S3203,37
naha7_trip_36,17:50:00,17:50:00,naha7_stop_38,38
naha7_trip_37,08:32:00,08:32:00,naha7_stop_1,1
naha7_trip_37,08:32:00,08:32:00,naha7_stop_2,2
naha7_trip_37,08:32:00,08:32:00,naha7_stop_3,3
naha7_trip_37,08:32:00,08:32:00,naha7_stop_4,4
naha7_trip_37,08:32:00,08:32:00,S4350,5
naha7_trip_37,08:32:00,08:32:00,S3594,6
naha7_trip_37,08:32:00,08:32:00,naha7_stop_7,7
naha7_trip_37,08:32:00,08:32:00,naha7_stop_8,8
naha7_trip_37,08:32:00,08:32:00,naha7_stop_9,9
naha7_trip_37,08:32:00,08:32:00,naha7_stop_10,10
naha7_trip_37,08:32:00,08:32:00,naha7_stop_11,11
naha7_trip_37,08:32:00,08:32:00,naha7_stop_12,12
naha7_trip_37,08:32:00,08:32:00,naha7_stop_13,13
naha7_trip_37,08:32:00,08:32:00,naha7_stop_14,14
naha7_trip_37,08:32:00,08:32:00,naha7_stop_15,15
naha7_trip_37,08:32:00,08:32:00,naha7_stop_16,16
naha7_trip_37,08:32:00,08:32:00,naha7_stop_17,17
naha7_trip_37,08:32:00,08:32:00,naha7_stop_18,18
naha7_trip_37,08:32:00,08:32:00,S3245,19
naha7_trip_37,08:32:00,08:32:00,naha7_stop_20,20
naha7_trip_37,08:32:00,08:32:00,naha7_stop_21,21
naha7_trip_37,08:32:00,08:32:00,naha7_stop_22,22
naha7_trip_37,08:32:00,08:32:00,naha7_stop_23,23
naha7_trip_37,08:32:00,08:32:00,S3399,24
naha7_trip_37,08:32:00,08:32:00,naha7_stop_25,25
naha7_trip_37,08:32:00,08:32:00,naha7_stop_26,26
naha7_trip_37,08:32:00,08:32:00,naha7_stop_27,27
naha7_trip_37,08:32:00,08:32:00,naha7_stop_28,28
naha7_trip_37,08:32:00,08:32:00,naha7_stop_29,29
naha7_trip_37,08:32:00,08:32:00,S3342,30
naha7_trip_37,08:32:00,08:32:00,naha7_stop_31,31
naha7_trip_37,08:32:00,08:32:00,naha7_stop_32,32
naha7_trip_37,08:32:00,08:32:00,naha7_stop_33,33
naha7_trip_37,08:32:00,08:32:00,S4397,34
naha7_trip_37,08:32:00,08:32:00,naha7_stop_35,35
naha7_trip_37,08:32:00,08:32:00,naha7_stop_36,36
naha7_trip_37,08:32:00,08:32:00,S3203,37
naha7_trip_37,08:32:00,08:32:00,naha7_stop_38,38
naha7_trip_38,10:20:00,10:20:00,naha7_stop_1,1
naha7_trip_38,10:20:00,10:20:00,naha7_stop_2,2
naha7_trip_38,10:20:00,10:20:00,naha7_stop_3,3
naha7_trip_38,10:20:00,10:20:00,naha7_stop_4,4
naha7_trip_38,10:20:00,10:20:00,S4350,5
naha7_trip_38,10:20:00,10:20:00,S3594,6
naha7_trip_38,10:20:00,10:20:00,naha7_stop_7,7
naha7_trip_38,10:20:00,10:20:00,naha7_stop_8,8
naha7_trip_38,10:20:00,10:20:00,naha7_stop_9,9
naha7_trip_38,10:20:00,10:20:00,naha7_stop_10,10
naha7_trip_38,10:20:00,10:20:00,naha7_stop_11,11
naha7_trip_38,10:20:00,10:20:00,naha7_stop_12,12
naha7_trip_38,10:20:00,10:20:00,naha7_stop_13,13
naha7_trip_38,10:20:00,10:20:00,naha7_stop_14,14
naha7_trip_38,10:20:00,10:20:00,naha7_stop_15,15
naha7_trip_38,10:20:00,10:20:00,naha7_stop_16,16
naha7_trip_38,10:20:00,10:20:00,naha7_stop_17,17
naha7_trip_38,10:20:00,10:20:00,naha7_stop_18,18
naha7_trip_38,10:20:00,10:20:00,S3245,19
naha7_trip_38,10:20:00,10:20:00,naha7_stop_20,20
naha7_trip_38,10:20:00,10:20:00,naha7_stop_21,21
naha7_trip_38,10:20:00,10:20:00,naha7_stop_22,22
naha7_trip_38,10:20:00,10:20:00,naha7_stop_23,23
naha7_trip_38,10:20:00,10:20:00,S3399,24
naha7_trip_38,10:20:00,10:20:00,naha7_stop_25,25
naha7_trip_38,10:20:00,10:20:00,naha7_stop_26,26
naha7_trip_38,10:20:00,10:20:00,naha7_stop_27,27
naha7_trip_38,10:20:00,10:20:00,naha7_stop_28,28
naha7_trip_38,10:20:00,10:20:00,naha7_stop_29,29
naha7_trip_38,10:20:00,10:20:00,S3342,30
naha7_trip_38,10:20:00,10:20:00,naha7_stop_31,31
naha7_trip_38,10:20:00,10:20:00,naha7_stop_32,32
naha7_trip_38,10:20:00,10:20:00,naha7_stop_33,33
naha7_trip_38,10:20:00,10:20:00,S4397,34
naha7_trip_38,10:20:00,10:20:00,naha7_stop_35,35
naha7_trip_38,10:20:00,10:20:00,naha7_stop_36,36
naha7_trip_38,10:20:00,10:20:00,S3203,37
naha7_trip_38,10:20:00,10:20:00,naha7_stop_38,38
naha7_trip_39,11:32:00,11:32:00,naha7_stop_1,1
naha7_trip_39,11:32:00,11:32:00,naha7_stop_2,2
naha7_trip_39,11:32:00,11:32:00,naha7_stop_3,3
naha7_trip_39,11:32:00,11:32:00,naha7_stop_4,4
naha7_trip_39,11:32:00,11:32:00,S4350,5
naha7_trip_39,11:32:00,11:32:00,S3594,6
naha7_trip_39,11:32:00,11:32:00,naha7_stop_7,7
naha7_trip_39,11:32:00,11:32:00,naha7_stop_8,8
naha7_trip_39,11:32:00,11:32:00,naha7_stop_9,9
naha7_trip_39,11:32:00,11:32:00,naha7_stop_10,10
naha7_trip_39,11:32:00,11:32:00,naha7_stop_11,11
naha7_trip_39,11:32:00,11:32:00,naha7_stop_12,12
naha7_trip_39,11:32:00,11:32:00,naha7_stop_13,13
naha7_trip_39,11:32:00,11:32:00,naha7_stop_14,14
naha7_trip_39,11:32:00,11:32:00,naha7_stop_15,15
naha7_trip_39,11:32:00,11:32:00,naha7_stop_16,16
naha7_trip_39,11:32:00,11:32:00,naha7_stop_17,17
naha7_trip_39,11:32:00,11:32:00,naha7_stop_18,18
naha7_trip_39,11:32:00,11:32:00,S3245,19
naha7_trip_39,11:32:00,11:32:00,naha7_stop_20,20
naha7_trip_39,11:32:00,11:32:00,naha7_stop_21,21
naha7_trip_39,11:32:00,11:32:00,naha7_stop_22,22
naha7_trip_39,11:32:00,11:32:00,naha7_stop_23,23
naha7_trip_39,11:32:00,11:32:00,S3399,24
naha7_trip_39,11:32:00,11:32:00,naha7_stop_25,25
naha7_trip_39,11:32:00,11:32:00,naha7_stop_26,26
naha7_trip_39,11:32:00,11:32:00,naha7_stop_27,27
naha7_trip_39,11:32:00,11:32:00,naha7_stop_28,28
naha7_trip_39,11:32:00,11:32:00,naha7_stop_29,29
naha7_trip_39,11:32:00,11:32:00,S3342,30
naha7_trip_39,11:32:00,11:32:00,naha7_stop_31,31
naha7_trip_39,11:32:00,11:32:00,naha7_stop_32,32
naha7_trip_39,11:32:00,11:32:00,naha7_stop_33,33
naha7_trip_39,11:32:00,11:32:00,S4397,34
naha7_trip_39,11:32:00,11:32:00,naha7_stop_35,35
naha7_trip_39,11:32:00,11:32:00,naha7_stop_36,36
naha7_trip_39,11:32:00,11:32:00,S3203,37
naha7_trip_39,11:32:00,11:32:00,naha7_stop_38,38
naha7_trip_40,13:05:00,13:05:00,naha7_stop_1,1
naha7_trip_40,13:05:00,13:05:00,naha7_stop_2,2
naha7_trip_40,13:05:00,13:05:00,naha7_stop_3,3
naha7_trip_40,13:05:00,13:05:00,naha7_stop_4,4
naha7_trip_40,13:05:00,13:05:00,S4350,5
naha7_trip_40,13:05:00,13:05:00,S3594,6
naha7_trip_40,13:05:00,13:05:00,naha7_stop_7,7
naha7_trip_40,13:05:00,13:05:00,naha7_stop_8,8
naha7_trip_40,13:05:00,13:05:00,naha7_stop_9,9
naha7_trip_40,13:05:00,13:05:00,naha7_stop_10,10
naha7_trip_40,13:05:00,13:05:00,naha7_stop_11,11
naha7_trip_40,13:05:00,13:05:00,naha7_stop_12,12
naha7_trip_40,13:05:00,13:05:00,naha7_stop_13,13
naha7_trip_40,13:05:00,13:05:00,naha7_stop_14,14
naha7_trip_40,13:05:00,13:05:00,naha7_stop_15,15
naha7_trip_40,13:05:00,13:05:00,naha7_stop_16,16
naha7_trip_40,13:05:00,13:05:00,naha7_stop_17,17
naha7_trip_40,13:05:00,13:05:00,naha7_stop_18,18
naha7_trip_40,13:05:00,13:05:00,S3245,19
naha7_trip_40,13:05:00,13:05:00,naha7_stop_20,20
naha7_trip_40,13:05:00,13:05:00,naha7_stop_21,21
naha7_trip_40,13:05:00,13:05:00,naha7_stop_22,22
naha7_trip_40,13:05:00,13:05:00,naha7_stop_23,23
naha7_trip_40,13:05:00,13:05:00,S3399,24
naha7_trip_40,13:05:00,13:05:00,naha7_stop_25,25
naha7_trip_40,13:05:00,13:05:00,naha7_stop_26,26
naha7_trip_40,13:05:00,13:05:00,naha7_stop_27,27
naha7_trip_40,13:05:00,13:05:00,naha7_stop_28,28
naha7_trip_40,13:05:00,13:05:00,naha7_stop_29,29
naha7_trip_40,13:05:00,13:05:00,S3342,30
naha7_trip_40,13:05:00,13:05:00,naha7_stop_31,31
naha7_trip_40,13:05:00,13:05:00,naha7_stop_32,32
naha7_trip_40,13:05:00,13:05:00,naha7_stop_33,33
naha7_trip_40,13:05:00,13:05:00,S4397,34
naha7_trip_40,13:05:00,13:05:00,naha7_stop_35,35
naha7_trip_40,13:05:00,13:05:00,naha7_stop_36,36
naha7_trip_40,13:05:00,13:05:00,S3203,37
naha7_trip_40,13:05:00,13:05:00,naha7_stop_38,38
naha7_trip_41,14:20:00,14:20:00,naha7_stop_1,1
naha7_trip_41,14:20:00,14:20:00,naha7_stop_2,2
naha7_trip_41,14:20:00,14:20:00,naha7_stop_3,3
naha7_trip_41,14:20:00,14:20:00,naha7_stop_4,4
naha7_trip_41,14:20:00,14:20:00,S4350,5
naha7_trip_41,14:20:00,14:20:00,S3594,6
naha7_trip_41,14:20:00,14:20:00,naha7_stop_7,7
naha7_trip_41,14:20:00,14:20:00,naha7_stop_8,8
naha7_trip_41,14:20:00,14:20:00,naha7_stop_9,9
naha7_trip_41,14:20:00,14:20:00,naha7_stop_10,10
naha7_trip_41,14:20:00,14:20:00,naha7_stop_11,11
naha7_trip_41,14:20:00,14:20:00,naha7_stop_12,12
naha7_trip_41,14:20:00,14:20:00,naha7_stop_13,13
naha7_trip_41,14:20:00,14:20:00,naha7_stop_14,14
naha7_trip_41,14:20:00,14:20:00,naha7_stop_15,15
naha7_trip_41,14:20:00,14:20:00,naha7_stop_16,16
naha7_trip_41,14:20:00,14:20:00,naha7_stop_17,17
naha7_trip_41,14:20:00,14:20:00,naha7_stop_18,18
naha7_trip_41,14:20:00,14:20:00,S3245,19
naha7_trip_41,14:20:00,14:20:00,naha7_stop_20,20
naha7_trip_41,14:20:00,14:20:00,naha7_stop_21,21
naha7_trip_41,14:20:00,14:20:00,naha7_stop_22,22
naha7_trip_41,14:20:00,14:20:00,naha7_stop_23,23
naha7_trip_41,14:20:00,14:20:00,S3399,24
naha7_trip_41,14:20:00,14:20:00,naha7_stop_25,25
naha7_trip_41,14:20:00,14:20:00,naha7_stop_26,26
naha7_trip_41,14:20:00,14:20:00,naha7_stop_27,27
naha7_trip_41,14:20:00,14:20:00,naha7_stop_28,28
naha7_trip_41,14:20:00,14:20:00,naha7_stop_29,29
naha7_trip_41,14:20:00,14:20:00,S3342,30
naha7_trip_41,14:20:00,14:20:00,naha7_stop_31,31
naha7_trip_41,14:20:00,14:20:00,naha7_stop_32,32
naha7_trip_41,14:20:00,14:20:00,naha7_stop_33,33
naha7_trip_41,14:20:00,14:20:00,S4397,34
naha7_trip_41,14:20:00,14:20:00,naha7_stop_35,35
naha7_trip_41,14:20:00,14:20:00,naha7_stop_36,36
naha7_trip_41,14:20:00,14:20:00,S3203,37
naha7_trip_41,14:20:00,14:20:00,naha7_stop_38,38
naha7_trip_42,15:31:00,15:31:00,naha7_stop_1,1
naha7_trip_42,15:31:00,15:31:00,naha7_stop_2,2
naha7_trip_42,15:31:00,15:31:00,naha7_stop_3,3
naha7_trip_42,15:31:00,15:31:00,naha7_stop_4,4
naha7_trip_42,15:31:00,15:31:00,S4350,5
naha7_trip_42,15:31:00,15:31:00,S3594,6
naha7_trip_42,15:31:00,15:31:00,naha7_stop_7,7
naha7_trip_42,15:31:00,15:31:00,naha7_stop_8,8
naha7_trip_42,15:31:00,15:31:00,naha7_stop_9,9
naha7_trip_42,15:31:00,15:31:00,naha7_stop_10,10
naha7_trip_42,15:31:00,15:31:00,naha7_stop_11,11
naha7_trip_42,15:31:00,15:31:00,naha7_stop_12,12
naha7_trip_42,15:31:00,15:31:00,naha7_stop_13,13
naha7_trip_42,15:31:00,15:31:00,naha7_stop_14,14
naha7_trip_42,15:31:00,15:31:00,naha7_stop_15,15
naha7_trip_42,15:31:00,15:31:00,naha7_stop_16,16
naha7_trip_42,15:31:00,15:31:00,naha7_stop_17,17
naha7_trip_42,15:31:00,15:31:00,naha7_stop_18,18
naha7_trip_42,15:31:00,15:31:00,S3245,19
naha7_trip_42,15:31:00,15:31:00,naha7_stop_20,20
naha7_trip_42,15:31:00,15:31:00,naha7_stop_21,21
naha7_trip_42,15:31:00,15:31:00,naha7_stop_22,22
naha7_trip_42,15:31:00,15:31:00,naha7_stop_23,23
naha7_trip_42,15:31:00,15:31:00,S3399,24
naha7_trip_42,15:31:00,15:31:00,naha7_stop_25,25
naha7_trip_42,15:31:00,15:31:00,naha7_stop_26,26
naha7_trip_42,15:31:00,15:31:00,naha7_stop_27,27
naha7_trip_42,15:31:00,15:31:00,naha7_stop_28,28
naha7_trip_42,15:31:00,15:31:00,naha7_stop_29,29
naha7_trip_42,15:31:00,15:31:00,S3342,30
naha7_trip_42,15:31:00,15:31:00,naha7_stop_31,31
naha7_trip_42,15:31:00,15:31:00,naha7_stop_32,32
naha7_trip_42,15:31:00,15:31:00,naha7_stop_33,33
naha7_trip_42,15:31:00,15:31:00,S4397,34
naha7_trip_42,15:31:00,15:31:00,naha7_stop_35,35
naha7_trip_42,15:31:00,15:31:00,naha7_stop_36,36
naha7_trip_42,15:31:00,15:31:00,S3203,37
naha7_trip_42,15:31:00,15:31:00,naha7_stop_38,38
naha7_trip_43,16:16:00,16:16:00,naha7_stop_1,1
naha7_trip_43,16:16:00,16:16:00,naha7_stop_2,2
naha7_trip_43,16:16:00,16:16:00,naha7_stop_3,3
naha7_trip_43,16:16:00,16:16:00,naha7_stop_4,4
naha7_trip_43,16:16:00,16:16:00,S4350,5
naha7_trip_43,16:16:00,16:16:00,S3594,6
naha7_trip_43,16:16:00,16:16:00,naha7_stop_7,7
naha7_trip_43,16:16:00,16:16:00,naha7_stop_8,8
naha7_trip_43,16:16:00,16:16:00,naha7_stop_9,9
naha7_trip_43,16:16:00,16:16:00,naha7_stop_10,10
naha7_trip_43,16:16:00,16:16:00,naha7_stop_11,11
naha7_trip_43,16:16:00,16:16:00,naha7_stop_12,12
naha7_trip_43,16:16:00,16:16:00,naha7_stop_13,13
naha7_trip_43,16:16:00,16:16:00,naha7_stop_14,14
naha7_trip_43,16:16:00,16:16:00,naha7_stop_15,15
naha7_trip_43,16:16:00,16:16:00,naha7_stop_16,16
naha7_trip_43,16:16:00,16:16:00,naha7_stop_17,17
naha7_trip_43,16:16:00,16:16:00,naha7_stop_18,18
naha7_trip_43,16:16:00,16:16:00,S3245,19
naha7_trip_43,16:16:00,16:16:00,naha7_stop_20,20
naha7_trip_43,16:16:00,16:16:00,naha7_stop_21,21
naha7_trip_43,16:16:00,16:16:00,naha7_stop_22,22
naha7_trip_43,16:16:00,16:16:00,naha7_stop_23,23
naha7_trip_43,16:16:00,16:16:00,S3399,24
naha7_trip_43,16:16:00,16:16:00,naha7_stop_25,25
naha7_trip_43,16:16:00,16:16:00,naha7_stop_26,26
naha7_trip_43,16:16:00,16:16:00,naha7_stop_27,27
naha7_trip_43,16:16:00,16:16:00,naha7_stop_28,28
naha7_trip_43,16:16:00,16:16:00,naha7_stop_29,29
naha7_trip_43,16:16:00,16:16:00,S3342,30
naha7_trip_43,16:16:00,16:16:00,naha7_stop_31,31
naha7_trip_43,16:16:00,16:16:00,naha7_stop_32,32
naha7_trip_43,16:16:00,16:16:00,naha7_stop_33,33
naha7_trip_43,16:16:00,16:16:00,S4397,34
naha7_trip_43,16:16:00,16:16:00,naha7_stop_35,35
naha7_trip_43,16:16:00,16:16:00,naha7_stop_36,36
naha7_trip_43,16:16:00,16:16:00,S3203,37
naha7_trip_43,16:16:00,16:16:00,naha7_stop_38,38
naha7_trip_44,17:19:00,17:19:00,naha7_stop_1,1
naha7_trip_44,17:19:00,17:19:00,naha7_stop_2,2
naha7_trip_44,17:19:00,17:19:00,naha7_stop_3,3
naha7_trip_44,17:19:00,17:19:00,naha7_stop_4,4
naha7_trip_44,17:19:00,17:19:00,S4350,5
naha7_trip_44,17:19:00,17:19:00,S3594,6
naha7_trip_44,17:19:00,17:19:00,naha7_stop_7,7
naha7_trip_44,17:19:00,17:19:00,naha7_stop_8,8
naha7_trip_44,17:19:00,17:19:00,naha7_stop_9,9
naha7_trip_44,17:19:00,17:19:00,naha7_stop_10,10
naha7_trip_44,17:19:00,17:19:00,naha7_stop_11,11
naha7_trip_44,17:19:00,17:19:00,naha7_stop_12,12
naha7_trip_44,17:19:00,17:19:00,naha7_stop_13,13
naha7_trip_44,17:19:00,17:19:00,naha7_stop_14,14
naha7_trip_44,17:19:00,17:19:00,naha7_stop_15,15
naha7_trip_44,17:19:00,17:19:00,naha7_stop_16,16
naha7_trip_44,17:19:00,17:19:00,naha7_stop_17,17
naha7_trip_44,17:19:00,17:19:00,naha7_stop_18,18
naha7_trip_44,17:19:00,17:19:00,S3245,19
naha7_trip_44,17:19:00,17:19:00,naha7_stop_20,20
naha7_trip_44,17:19:00,17:19:00,naha7_stop_21,21
naha7_trip_44,17:19:00,17:19:00,naha7_stop_22,22
naha7_trip_44,17:19:00,17:19:00,naha7_stop_23,23
naha7_trip_44,17:19:00,17:19:00,S3399,24
naha7_trip_44,17:19:00,17:19:00,naha7_stop_25,25
naha7_trip_44,17:19:00,17:19:00,naha7_stop_26,26
naha7_trip_44,17:19:00,17:19:00,naha7_stop_27,27
naha7_trip_44,17:19:00,17:19:00,naha7_stop_28,28
naha7_trip_44,17:19:00,17:19:00,naha7_stop_29,29
naha7_trip_44,17:19:00,17:19:00,S3342,30
naha7_trip_44,17:19:00,17:19:00,naha7_stop_31,31
naha7_trip_44,17:19:00,17:19:00,naha7_stop_32,32
naha7_trip_44,17:19:00,17:19:00,naha7_stop_33,33
naha7_trip_44,17:19:00,17:19:00,S4397,34
naha7_trip_44,17:19:00,17:19:00,naha7_stop_35,35
naha7_trip_44,17:19:00,17:19:00,naha7_stop_36,36
naha7_trip_44,17:19:00,17:19:00,S3203,37
naha7_trip_44,17:19:00,17:19:00,naha7_stop_38,38
